Keyword,Frequency
tax,7231
income,2678
taxes,1738
savings,1192
payments,691
taxable,499
taxed,478
expenses,454
fees,348
allowance,326
deduction,313
Tax,279
deduct,228
deductions,181
earnings,173
withheld,148
dividends,117
PAYE,109
deducted,107
taxpayer,102
Income,96
dividend,95
0,82
repayments,82
FICA,73
VAT,70
deductible,66
Mortgage,58
Medicare,53
Taxes,46
pre-tax,43
cashback,42
post-tax,35
deducting,28
annuity,21
15.3%,20
premiums,19
pretax,18
payable,18
shortfall,14
medicare,14
7.65%,13
Taxable,13
mortage,12
Dividends,10
20K,10
VAT.,8
windfall,7
6.2%,7
expenditures,7
