Keyword,Frequency
Israel,9498
Hamas,3976
Jews,2642
Israeli,2485
Palestine,2237
Palestinian,1821
Palestinians,1738
Gaza,1588
Zionist,1487
IDF,989
Israelis,940
israel,738
Arabs,667
Iran,559
hamas,558
terrorists,465
Bibi,452
Netanyahu,403
Muslims,371
UN,370
Zionists,366
Russia,348
Egypt,299
Ukraine,284
Saudi,209
Islam,190
Zionism,185
Gazans,171
Lebanon,168
Turkey,160
regime,152
palestinians,146
zionists,144
gaza,144
palestine,143
Hezbollah,139
Syria,136
Iraq,128
israelis,75
Erdogan,68
Islamists,65
PLO,57
Golan,55
Iranians,50
ISIS,46
Likud,46
Isreal,46
Fatah,43
militants,39
Saudis,39
