Keyword,Frequency
NHS,4133
6,734
NHS.,492
nhs,378
Medical,267
Scotland,192
Labour,119
Hospital,101
Tories,100
govt,98
Tory,92
Government,77
gov,66
BBC,51
privatisation,50
Healthcare,41
reform,40
SNP,40
MPs,35
privatised,32
Westminster,24
Brexit,23
Council,23
Committee,21
tory,17
PFI,15
Govt,14
privatise,13
Conservative,13
DWP,13
Funding,12
Audit,12
Parliament,12
Conservatives,10
Medicare,10
Gov,9
Education,9
GUM,9
Reform,9
Immigration,7
Minister,7
Privatisation,7
HSE,6
Independent,5
Foreign,5
Institute,4
GCHQ,4
Economic,4
MEDICAL,4
Socialist,4
