Keyword,Zijing,Adam,Viktor,Raphael,Kanushree,StdDev
economic,0,0,1,1,0.0,0.5477225575051662
science,0,0,1,1,0.0,0.5477225575051662
scientists,0,0,1,1,0.0,0.5477225575051662
scientific,0,0,1,1,0.0,0.5477225575051662
rise,1,0,1,0,0.0,0.5477225575051662
collapse,1,0,1,0,0.0,0.5477225575051662
causes,0,0,1,1,0.0,0.5477225575051662
impacts,0,0,1,1,0.0,0.5477225575051662
deniers,1,0,1,1,0.0,0.5477225575051662
denier,1,0,1,1,0.0,0.5477225575051662
political,0,1,1,1,0.0,0.5477225575051662
skeptics,1,0,1,1,0.0,0.5477225575051662
currents,0,0,1,1,0.0,0.5477225575051662
deserts,1,0,1,1,0.0,0.5477225575051662
power,0,1,1,0,0.0,0.5477225575051662
world,1,0,1,0,0.0,0.5477225575051662
earth,1,0,1,1,0.0,0.5477225575051662
nuke,1,0,1,0,0.0,0.5477225575051662
biden,0,0,1,1,0.0,0.5477225575051662
ice,0,1,1,0,0.0,0.5477225575051662
propaganda,0,0,1,1,0.0,0.5477225575051662
population,0,0,1,1,0.0,0.5477225575051662
green,0,0,1,0,1.0,0.5477225575051662
