Keyword,Viktor,Kanushree,Adam,Raphael,Zijing,StdDev
fees,1,0.0,0,1,0,0.5477225575051662
withheld,1,0.0,0,1,0,0.5477225575051662
paye,1,1.0,1,0,0,0.5477225575051662
treasury,0,0.0,1,1,1,0.5477225575051662
financial,1,1.0,0,1,0,0.5477225575051662
exemptions,1,0.0,0,1,1,0.5477225575051662
insurance,1,1.0,0,1,0,0.5477225575051662
revenue,0,1.0,0,1,1,0.5477225575051662
corporations,0,0.0,1,1,0,0.5477225575051662
equity,0,0.0,1,1,0,0.5477225575051662
payable,0,1.0,1,1,0,0.5477225575051662
payments,1,1.0,0,1,0,0.5477225575051662
expenses,1,1.0,0,1,0,0.5477225575051662
allowance,1,1.0,0,1,0,0.5477225575051662
15.3%,0,1.0,1,0,0,0.5477225575051662
shortfall,0,1.0,1,1,0,0.5477225575051662
7.65%,0,1.0,1,0,0,0.5477225575051662
windfall,1,0.0,1,1,0,0.5477225575051662
6.2%,0,1.0,1,0,0,0.5477225575051662
property,0,0.0,1,1,0,0.5477225575051662
fraud,0,0.0,1,1,0,0.5477225575051662
fund,0,1.0,0,1,0,0.5477225575051662
capital,0,1.0,0,1,0,0.5477225575051662
estate,0,0.0,1,1,1,0.5477225575051662
crypto,0,1.0,0,1,0,0.5477225575051662
market,0,1.0,0,1,0,0.5477225575051662
hsbc,0,0.0,1,1,0,0.5477225575051662
accountant,0,1.0,1,1,0,0.5477225575051662
pay,1,1.0,0,0,0,0.5477225575051662
employed,0,0.0,0,1,1,0.5477225575051662
gambling,0,0.0,1,1,1,0.5477225575051662
ukpersonal finance,1,1.0,0,0,1,0.5477225575051662
uk,1,0.0,0,1,0,0.5477225575051662
money,1,1.0,0,1,0,0.5477225575051662
ukpersonalfinance,1,0.0,0,0,1,0.5477225575051662
tax code,1,1.0,0,1,0,0.5477225575051662
1099,0,1.0,1,0,0,0.5477225575051662
capital gains,0,1.0,1,1,0,0.5477225575051662
