Keyword,Relevant
climate,1
change,0
warming,1
science,0
nuclear,1
weather,1
environmental,1
scientists,0
scientific,0
1,0
rise,0
economic,0
ipcc,1
impacts,0
global,1
causes,0
collapse,0
noaa,1
deniers,1
anthropogenic,1
ecological,1
oil,0
temperature,1
denier,1
natural,0
geological,1
geoengineering,1
0,0
droughts,1
gas,0
alarmists,1
greenhouse,1
alarmist,1
coal,0
emissions,1
sustainable,1
climates,1
atmospheric,0
skeptics,1
recycling,1
underlying,0
renewable,1
co2,1
environment,1
pollution,1
oceans,0
arctic,0
agriculture,0
drought,1
glaciers,1
ecosystems,1
antarctic,0
biodiversity,1
wildfires,1
disasters,1
antarctica,0
habitat,1
hurricanes,0
humidity,0
rainfall,0
precipitation,0
deforestation,1
currents,0
overpopulation,1
volcanoes,0
deserts,0
extinctions,1
biosphere,1
temperate,1
acidification,1
ecology,1
environmentalists,1
manmade,0
erosion,1
arid,1
time,0
people,0
energy,1
carbon,1
atmosphere,0
earth,1
fuel,1
fossil,1
sustainability,1
china,0
power,0
heat,0
world,0
ocean,0
canada,0
ice,0
vegan,0
methane,0
nature,0
water,0
green,0
sea,0
snow,0
footprint,1
electricity,0
winter,0
age,0
california,0
solar,0
hydrogen,0
wikipedia,0
el,0
mass,0
climate change,1
just,0
lol,0
like,0
fossil fuels,1
yes,0
years,0
don,0
think,0
co2 levels,1
know,0
co2 emissions,1
humans,0
good,0
article,0
right,0
going,0
thank,0
global warming,1
carbon footprint,1
thanks,0
co2 atmosphere,1
population,0
planet,0
plastic,0
year,0
yeah,0
solar panels,1
really,0
agree,0
ice age,1
stop,0
