Keyword,Relevant
climate,1
change,0
warming,1
science,0
nuclear,1
weather,1
environmental,1
scientists,0
scientific,1
1,0
rise,0
economic,0
ipcc,1
impacts,0
global,0
causes,0
collapse,0
noaa,1
deniers,1
anthropogenic,1
ecological,1
oil,1
temperature,1
denier,1
natural,1
geological,1
geoengineering,1
0,0
droughts,1
gas,1
alarmists,1
greenhouse,1
alarmist,1
coal,1
emissions,1
sustainable,1
climates,1
atmospheric,1
skeptics,0
recycling,1
underlying,0
renewable,1
co2,1
environment,1
pollution,1
oceans,1
arctic,1
agriculture,1
drought,1
glaciers,1
ecosystems,1
antarctic,1
biodiversity,1
wildfires,1
disasters,1
antarctica,1
habitat,1
hurricanes,1
humidity,1
rainfall,1
precipitation,1
deforestation,1
currents,1
overpopulation,1
volcanoes,1
deserts,1
extinctions,1
biosphere,1
temperate,0
acidification,1
ecology,1
environmentalists,1
manmade,1
erosion,1
arid,1
time,1
people,0
energy,1
carbon,1
atmosphere,1
earth,1
fuel,1
fossil,1
sustainability,1
china,0
power,0
heat,1
world,0
ocean,1
canada,0
ice,0
vegan,1
methane,1
nature,1
water,0
green,0
sea,1
snow,0
footprint,1
electricity,1
winter,0
age,0
california,0
solar,1
hydrogen,1
wikipedia,0
el,0
mass,0
climate change,1
just,0
lol,0
like,0
fossil fuels,1
yes,0
years,0
don,0
think,0
co2 levels,1
know,0
co2 emissions,1
humans,0
good,0
article,0
right,0
going,0
thank,0
global warming,1
carbon footprint,1
thanks,0
co2 atmosphere,1
population,0
planet,1
plastic,1
year,0
yeah,0
solar panels,1
really,0
agree,0
ice age,0
stop,0
