Keyword,Relevant
climate,1.0
change,1.0
nuclear,0.0
warming,1.0
economic,0.0
science,0.0
weather,1.0
scientists,0.0
1,0.0
scientific,0.0
rise,0.0
collapse,0.0
global,1.0
causes,0.0
environmental,1.0
ipcc,1.0
impacts,0.0
noaa,1.0
deniers,0.0
anthropogenic,1.0
0,0.0
temperature,1.0
oil,0.0
denier,0.0
geological,1.0
ecological,1.0
alarmists,0.0
natural,0.0
droughts,1.0
alarmist,0.0
underlying,0.0
geoengineering,1.0
greenhouse,1.0
gas,0.0
coal,0.0
political,0.0
skeptics,0.0
times,0.0
atmospheric,0.0
climates,0.0
emissions,1.0
prevailing,0.0
co2,1.0
environment,1.0
arctic,0.0
pollution,1.0
oceans,0.0
drought,1.0
agriculture,0.0
glaciers,0.0
antarctic,0.0
wildfires,1.0
disasters,1.0
ecosystems,1.0
antarctica,0.0
precipitation,0.0
hurricanes,0.0
biodiversity,1.0
rainfall,0.0
humidity,0.0
currents,0.0
habitat,0.0
deforestation,1.0
volcanoes,0.0
deserts,0.0
extinctions,1.0
temperate,1.0
glaciation,0.0
desertification,1.0
manmade,0.0
biosphere,1.0
arid,1.0
snowpack,0.0
erosion,1.0
agw,1.0
russia,0.0
ukraine,0.0
china,0.0
israel,0.0
iran,0.0
nato,0.0
time,0.0
people,0.0
hamas,0.0
gaza,0.0
energy,0.0
europe,0.0
india,0.0
taiwan,0.0
power,0.0
atmosphere,0.0
war,0.0
carbon,0.0
world,0.0
france,0.0
earth,0.0
palestinians,0.0
canada,0.0
germany,0.0
genocide,0.0
united,0.0
fuel,0.0
state,0.0
west,0.0
nuke,0.0
biden,0.0
democracy,0.0
ice,0.0
propaganda,0.0
japan,0.0
states,0.0
fossil,1.0
hezbollah,0.0
history,0.0
wikipedia,0.0
climate change,1.0
just,0.0
lol,0.0
like,0.0
think,0.0
yes,0.0
russian,0.0
know,0.0
years,0.0
putin,0.0
co2 levels,1.0
don,0.0
population,0.0
article,0.0
fossil fuels,1.0
right,0.0
good,0.0
agree,0.0
green,1.0
point,0.0
did,0.0
co2 atmosphere,1.0
wrong,0.0
ice age,1.0
maybe,0.0
thanks,0.0
global warming,1.0
really,0.0
