Keyword,Relevant
climate,1
change,0
warming,0
science,0
nuclear,0
weather,0
environmental,1
scientists,0
scientific,0
1,0
rise,0
economic,0
IPCC,1
impacts,0
Global,0
causes,0
collapse,0
NOAA,1
deniers,0
anthropogenic,1
CO2,1
environment,1
pollution,1
oceans,0
Arctic,0
agriculture,0
drought,1
glaciers,0
ecological,1
ecosystems,1
Antarctic,0
biodiversity,1
time,0
people,0
energy,0
carbon,1
atmosphere,0
earth,0
fuel,1
fossil,0
sustainability,1
China,0
power,0
gas,0
greenhouse,1
coal,0
heat,0
world,0
climate change,0
just,0
emissions,1
lol,0
like,0
temperature,1
fossil fuels,1
yes,0
years,0
sustainable,1
don,0
think,0
co2 levels,0
know,0
