Keyword,Relevant
climate,1
change,0
warming,1
science,1
nuclear,1
weather,1
environmental,1
scientists,0
scientific,0
1,0
rise,0
economic,0
IPCC,1
impacts,1
Global,0
causes,0
collapse,1
NOAA,1
deniers,1
anthropogenic,0
CO2,1
environment,1
pollution,1
oceans,1
Arctic,1
agriculture,1
drought,1
glaciers,1
ecological,1
ecosystems,1
Antarctic,1
biodiversity,1
time,0
people,0
energy,0
carbon,1
atmosphere,1
earth,0
fuel,0
fossil,1
sustainability,1
China,0
power,0
gas,0
greenhouse,1
coal,0
heat,0
world,0
climate change,0
just,0
emissions,1
lol,0
like,0
temperature,1
fossil fuels,1
yes,0
years,0
sustainable,1
don,0
think,0
co2 levels,0
know,0
