Keyword,Relevant
climate,1
change,0
nuclear,0
warming,0
economic,0
science,0
weather,0
scientists,0
1,0
scientific,0
rise,0
collapse,0
Global,0
causes,0
environmental,1
IPCC,1
impacts,0
NOAA,1
deniers,0
anthropogenic,1
CO2,1
environment,1
Arctic,0
pollution,1
oceans,0
drought,1
agriculture,0
glaciers,0
Antarctic,0
wildfires,0
disasters,1
ecosystems,1
Russia,0
Ukraine,0
China,0
Israel,0
Iran,0
NATO,0
time,0
people,0
Hamas,0
Gaza,0
energy,0
Europe,0
India,0
Taiwan,0
power,0
atmosphere,0
war,0
climate change,0
just,0
lol,0
like,0
temperature,1
think,0
yes,0
russian,0
emissions,1
know,0
