Keyword,Frequency
EU,8704
Brexit,5761
EU.,1395
Labour,1192
Tories,758
referendum,606
immigration,415
Farage,342
tories,161
Conservatives,160
elections,153
parliamentary,119
FPTP,103
coalition,91
Westminster,83
EEA,66
WTO,63
ECHR,63
EFTA,62
UKIP,59
reforms,58
EEC,52
Greece,40
reunification,36
MEP,33
SNP,29
undemocratic,28
austerity,28
Immigration,27
referendums,27
UKIP.,24
Greens,22
Labor,20
referenda,20
eurozone,19
ECB,19
LibDems,17
Unionist,15
FPTP.,14
IMF,14
Eurozone,12
devolution,10
Ukip,10
Referendum,10
Elections,8
Coalition,8
parliaments,7
federalism,7
Draghi,6
Opposition,4
