Keyword,Frequency
NHS,4133
healthcare,867
NHS.,492
nhs,378
funding,301
Labour,119
Tories,100
govt,98
Government,77
pensions,51
privatisation,50
tories,43
Healthcare,41
SNP,40
privatised,32
taxpayer,24
Westminster,24
Brexit,23
welfare,19
PFI,15
subsidised,15
subsidise,14
Govt,14
privatise,13
DWP,13
austerity,12
Conservatives,10
Medicare,10
privatising,8
taxpayers,7
Privatisation,7
privatized,6
subsidising,6
HSE,6
pensioners,6
Austerity,5
UBI,4
privatization,3
entitlements,3
heathcare,3
subsidises,3
HS2,2
UKIP,2
subsidy,2
nationalising,2
Welfare,1
privatize,1
nationalise,1
Holyrood,1
privatizing,1
