Keyword,Frequency
government,4258
insurance,1245
healthcare,912
spending,451
economy,384
education,338
Medicaid,262
corporations,257
welfare,232
Government,225
Medicare,199
taxpayer,124
taxation,120
Healthcare,114
govt,108
taxpayers,85
gov,79
ACA,60
subsidies,58
medicaid,46
subsidize,33
Obamacare,32
subsidy,31
privatized,28
medicare,26
NHS,21
pensions,21
subsidizing,20
gov't,19
UBI,18
expenditures,16
Welfare,12
single-payer,8
defunding,7
ACA.,6
Govt,6
deregulating,6
Medicare/Medicaid,5
health-care,5
deregulate,4
privatization,4
entitlements,4
privatizing,4
subsidization,3
UBI.,3
Subsidies,3
obamacare,2
tax-payer,1
NHS.,1
Pensions,1
