Keyword,Frequency
Israel,9498
Hamas,3976
Jews,2642
Israeli,2485
Palestine,2237
Palestinian,1821
Palestinians,1738
Gaza,1588
refugees,1131
Israelis,940
israel,738
Arabs,667
Iran,559
UN,370
Zionists,366
Russia,348
Egypt,299
Ukraine,284
Zionism,185
Gazans,171
Lebanon,168
settlements,163
nations,161
Turkey,160
occupation,150
palestinians,146
gaza,144
palestine,143
Hezbollah,139
Syria,136
settlers,132
Iraq,128
1948,113
arabs,93
israelis,75
Druze,73
Judea,64
PLO,57
Golan,55
Iranians,50
Isreal,46
Mandate,45
Britain,43
Fatah,43
Azerbaijan,38
Arafat,37
Turks,37
Kurds,36
Pakistan,35
Levant,33
