Keyword,Frequency
Brexit,5761
Labour,1192
Tories,758
referendum,606
immigration,415
Farage,342
tories,161
parliamentary,119
FPTP,103
coalition,91
EEA,66
ECHR,63
EFTA,62
UKIP,59
EEC,52
Greece,40
MEP,33
SNP,29
austerity,28
Immigration,27
UKIP.,24
Greens,22
eurozone,19
ECB,19
LibDems,17
Eurosceptics,16
IMF,14
Eurozone,12
devolution,10
Ukip,10
Referendum,10
Coalition,8
eurosceptic,6
Opposition,4
eurosceptics,4
Austerity,3
rUK,3
Juncker,3
CETA,3
TTIP,2
SNP.,2
federalization,2
privatisation,2
E.U.,2
plebiscite,1
ECB.,1
Nigel_Farage,1
federalisation,1
Holyrood,1
Miliband,1
