Keyword,Frequency
issue,712
passport,414
USCIS,252
attorney,114
Visa,105
I-130,90
paperwork,90
consulate,79
certificate,74
I-485,71
Immigration,62
IRS,58
Department,51
authorization,49
naturalization,47
SSN,43
warrant,43
applicant,41
File,27
Executive,22
Service,21
DOJ,21
FISA,21
Citizenship,18
DMV,16
Dept,16
I-9,14
FOIA,13
IRS.,10
Certificate,9
SSN.,9
Agency,9
subpoena,7
Customs,7
ITIN,6
Attorney,6
issuance,5
Affidavit,5
Applicant,5
authorize,5
Representative,4
embassy/consulate,3
notary,3
DMV.,3
Taxpayer,3
Agreement,3
CBSA,2
notarized,2
Residency,2
Employer,2
