Keyword,Frequency
Israel,9498
Hamas,3976
Jews,2642
Israeli,2485
Palestine,2237
Palestinian,1821
Palestinians,1738
Gaza,1588
Zionist,1487
Arab,1070
IDF,989
Israelis,940
israel,738
Arabs,667
Iran,559
hamas,558
UN,370
Zionists,366
Egypt,299
Ukraine,284
Islamic,277
Zionism,185
apartheid,174
Gazans,171
Lebanon,168
palestinian,166
Turkey,160
palestinians,146
gaza,144
palestine,143
Hezbollah,139
Syria,136
Iraq,128
1948,113
Syrian,94
Druze,73
Erdogan,68
Islamists,65
Islamist,63
PLO,57
Golan,55
Iranians,50
ISIS,46
Isreal,46
Fatah,43
zionism,41
Azerbaijan,38
Turks,37
Kurds,36
Levant,33
