Keyword,Frequency
Israel,9498
Hamas,3976
Jews,2642
Israeli,2485
Jewish,2260
Palestine,2237
Palestinian,1821
Gaza,1588
Zionist,1487
Arab,1070
IDF,989
Israelis,940
israel,738
Arabs,667
Iran,559
Muslim,526
Bibi,452
Netanyahu,403
Jew,376
antisemitic,374
Muslims,371
UN,370
Zionists,366
Russia,348
Ukraine,284
Islamic,277
Jerusalem,267
Christian,245
British,243
Iranian,241
pro-Israel,217
Saudi,209
Islam,190
zionist,188
Zionism,185
Russian,183
palestinian,166
israeli,163
anti-Israel,163
zionists,144
Hezbollah,139
Syria,136
Iraq,128
1948,113
pro-Palestine,112
Putin,104
Turkish,101
secular,98
Obama,97
Syrian,94
