Keyword,Frequency
Russia,12765
climate,12750
Ukraine,8658
China,8155
Israel,6865
change,6240
Iran,5176
NATO,4855
time,4664
people,3467
Hamas,2784
Gaza,2450
energy,2229
Europe,1959
India,1951
Taiwan,1874
nuclear,1758
Climate,1741
power,1504
atmosphere,1452
war,1448
carbon,1445
world,1442
France,1389
warming,1349
earth,1300
global,1295
Palestinians,1233
Earth,1141
Canada,1113
Germany,1004
genocide,1001
United,993
fuel,980
state,980
West,978
nuke,956
Biden,937
democracy,917
ice,913
propaganda,913
Japan,911
greenhouse,888
States,872
fossil,844
Hezbollah,844
history,835
science,834
wikipedia,830
coal,823
