Keyword,Score
climate,618.5859999999994
climate change,295.91899999999987
ukraine,283.99660000000006
israel,180.56700000000006
russia,158.32079999999996
just,139.07069999999973
people,138.52539999999985
co2,130.3706999999999
china,124.6234
lol,112.0608
like,104.03760000000004
temperature,103.54589999999996
iran,101.7613
think,98.13029999999995
gaza,98.06760000000001
hamas,93.7622
yes,92.09639999999996
russian,89.04859999999998
emissions,87.45419999999997
know,83.27170000000004
years,80.26629999999997
nuclear,76.69489999999995
war,75.72819999999997
change,74.54220000000002
putin,72.85860000000002
weather,72.55199999999996
co2 levels,71.50480000000003
don,70.39319999999996
west,68.32220000000004
population,68.21590000000002
article,67.33609999999997
carbon,66.69069999999999
fossil fuels,66.6649
nato,63.898
right,63.55660000000003
canada,63.00990000000001
good,61.38640000000002
agree,60.09170000000002
green,59.673299999999976
point,58.722199999999994
did,57.94079999999999
co2 atmosphere,57.09740000000002
wrong,55.06169999999999
ice age,54.317400000000006
maybe,54.075100000000006
india,53.55250000000003
thanks,53.16830000000001
global warming,53.1457
really,52.28610000000004
europe,52.2803
