Keyword,Score
libertarian,157.85979999999995
biden,137.44259999999997
people,111.0322
just,99.92219999999992
lol,85.91460000000001
like,82.99279999999997
government,78.66499999999998
libertarian wiki,70.8054999999999
trump,69.10800000000002
right,65.91669999999999
libertarians,64.36499999999998
don,61.4358
think,61.36039999999999
know,59.55470000000005
left,59.268400000000014
social security,57.21260000000001
ukraine,56.718700000000055
bot action,54.71580000000015
israel,52.56699999999998
money,50.60409999999999
agree,50.19510000000001
free,49.4556
state,46.197499999999984
good,45.323699999999995
tax,45.07700000000003
gif,43.5899
giphy,40.940000000000005
american,40.30760000000002
speech,39.69029999999999
vote,39.062900000000006
org bot,38.92750000000005
inflation,38.90510000000001
hate,38.565799999999975
yes,38.3951
questions concerns,37.44520000000005
shortest political,36.4818
didn,36.42060000000004
minimum wage,35.37499999999999
did,35.32669999999999
really,35.1052
taxes,35.045899999999996
yeah,34.7338
point,34.28429999999999
democrats,33.172999999999995
wrong,33.0267
does,32.716699999999996
years,32.5463
probably,32.3734
gif giphy,32.211200000000005
freedom,32.1459
